Date,3/9,3/10,3/11,3/12,3/13,3/14,3/15,3/16,3/17,3/18,3/19,3/20,3/21,3/22,3/23,3/24,3/25,3/26,3/27,3/28,3/29,3/30,3/31,4/1,4/2,4/3,4/4,4/5,4/6,4/7,4/8,4/9,4/10,4/11,4/12,4/13,4/14,4/15,4/16,4/17,4/18,4/19,4/20,4/21,4/22,4/23,4/24,4/25,4/26,4/27,4/28,4/29,4/30,5/1,5/2,5/3,5/4,5/5,5/6,5/7,5/8,5/9,5/10,5/11,5/12,5/13,5/14,5/15,5/16,5/17,5/18,5/19,5/20,5/21,5/22,5/23,5/24,5/25,5/26,5/27,5/28,5/29,5/30,5/31,6/1,6/2,6/3,6/4,6/5,6/6,6/7,6/8,6/9,6/10,6/11,6/12,6/13,6/14,6/15,6/16,6/17,6/18,6/19,6/20,6/21,6/22,6/23,6/24,6/25,6/26,6/27,6/28,6/29,6/30,7/1,7/2,7/3,7/4,7/5,7/6,7/7,7/8,7/9,7/10,7/11,7/12,7/13,7/14,7/15,7/16,7/17,7/18,7/19,7/20,7/21,7/22,7/23,7/24,7/25,7/26,7/27,7/28,7/29,7/30,7/31,8/1,8/2,8/3,8/4,8/5,8/6,8/7,8/8,8/9,8/10,8/11,8/12,8/13,8/14,8/15,8/16,8/17,8/18,8/19,8/20,8/21,8/22,8/23,8/24,8/25,8/26,8/27,8/28,8/29,8/30,8/31,9/1,9/2,9/3,9/4
PA Cases,10,14,16,22,41,47,62,76,96,133,185,268,371,479,644,851,1127,1687,2218,2751,3394,4087,4843,5805,7016,8420,10017,11510,12980,14559,16239,18228,19979,21655,22833,24199,25345,26490,27735,29441,31069,32284,33232,34528,35684,37053,38652,40049,41165,42050,43264,44366,45763,46971,48305,49267,50092,50957,51845,52915,54238,55316,56611,57154,57991,58698,59636,60622,61611,62234,63056,63666,64412,65392,66258,66983,67713,68186,68637,69417,70042,70735,71415,71926,72282,72894,73405,73942,74385,75086,75592,75943,76436,76846,77313,77999,78462,78798,79121,79483,79818,80236,80762,81266,81730,82186,82696,83191,83770,84370,84991,85496,85988,86606,87242,88074,88741,89375,89854,90304,91299,92148,92867,93876,94689,95414,95742,96671,97665,98446,99478,100241,101027,101738,102765,103396,104358,105571,106625,107425,108264,109384,110218,111078,112048,112936,113590,114155,115009,115714,116521,117279,118092,118852,119453,120281,121130,122121,122950,123800,124460,124844,125579,126149,126940,127633,128429,129048,129474,130035,130536,131156,131991,132834,133504,134025,134795,135611,136771,137662
Allegheny,0,0,0,0,0,2,3,5,7,11,16,28,31,40,48,58,88,133,158,219,265,290,325,356,419,476,552,605,642,689,720,759,788,836,857,876,893,904,925,947,1009,1035,1042,1059,1088,1149,1177,1198,1211,1224,1235,1273,1289,1319,1333,1345,1365,1375,1394,1439,1455,1486,1503,1511,1526,1545,1551,1582,1595,1603,1641,1658,1687,1718,1739,1753,1777,1805,1816,1828,1851,1870,1897,1911,1919,1928,1952,1965,1973,1989,2003,2008,2027,2034,2055,2065,2076,2079,2086,2113,2113,2122,2139,2159,2175,2220,2239,2284,2321,2382,2472,2568,2651,2760,2870,3103,3280,3430,3557,3775,3979,4209,4367,4547,4762,4962,5033,5364,5610,5750,5990,6125,6263,6435,6574,6670,6817,7015,7161,7294,7474,7593,7718,7850,8094,8160,8242,8310,8442,8512,8612,8709,8796,8857,8932,9008,9078,9192,9282,9359,9433,9504,9549,9576,9676,9756,9817,9903,9932,9990,10004,10065,10128,10211,10310,10347,10376,10444,10549,10641
Armstrong,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,3,3,5,5,7,11,12,12,13,18,19,20,22,26,27,28,28,29,32,32,36,38,38,38,39,43,43,46,46,47,50,50,51,52,52,52,52,53,55,55,55,55,55,55,55,56,56,57,58,58,58,58,58,58,58,58,58,58,59,61,62,62,62,62,62,62,64,64,64,65,65,65,65,65,65,66,66,66,66,68,68,68,69,69,69,69,70,70,70,72,73,73,73,74,76,77,78,79,78,78,79,79,80,84,84,86,86,88,94,96,97,97,114,119,122,129,134,138,151,163,166,169,174,178,179,184,187,188,192,196,200,204,208,212,216,222,230,237,242,244,242,244,245,250,266,269,276,282,285,291,297,301,308,312,313,314,320,324,341,343
Beaver,0,0,0,0,0,0,0,0,1,2,2,3,3,3,3,3,7,13,14,22,28,44,52,54,55,65,69,84,96,116,128,129,139,143,145,153,156,158,168,178,278,288,298,303,317,319,337,359,366,387,388,392,405,426,435,435,458,466,471,472,479,482,491,491,493,509,512,516,518,517,533,534,539,539,550,552,554,568,570,570,579,582,589,590,590,591,594,599,598,598,603,603,608,610,610,611,611,611,613,613,615,616,619,621,624,625,630,634,637,638,642,648,651,669,678,688,706,720,737,742,770,785,796,809,823,837,845,870,884,893,918,949,958,968,1011,1046,1053,1084,1101,1116,1127,1164,1176,1189,1212,1219,1232,1237,1261,1269,1280,1294,1312,1316,1326,1332,1351,1374,1382,1401,1407,1410,1423,1437,1447,1485,1496,1501,1504,1515,1526,1532,1573,1597,1603,1611,1618,1630,1653,1694
Butler,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,6,12,19,26,41,47,49,60,64,69,75,84,87,91,107,113,113,123,128,133,143,143,150,154,157,160,161,161,162,164,164,168,168,170,170,174,175,178,180,180,180,180,184,185,190,192,194,195,195,198,197,199,202,202,203,203,206,208,209,209,216,219,220,220,222,226,227,229,230,230,232,235,240,239,244,247,247,249,250,255,256,257,257,257,260,263,263,263,263,268,271,273,277,280,284,291,295,302,307,311,319,330,340,346,356,370,390,396,403,410,421,429,444,444,456,465,474,479,481,508,513,519,535,544,556,562,577,586,593,597,600,602,605,615,624,637,645,656,661,671,677,695,707,710,712,718,723,729,732,737,740,744,746,745,750,757,760,767,778,780,785,789,801,821,833
Fayette,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,4,8,9,10,10,11,14,14,15,20,23,27,29,32,35,45,49,50,54,57,58,58,60,66,66,66,67,69,70,71,75,79,79,79,79,80,80,81,82,83,83,84,84,84,84,85,85,85,85,85,87,87,88,89,91,92,93,93,93,94,94,94,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,96,95,95,95,95,95,98,100,103,103,104,104,104,104,104,106,110,111,112,116,117,127,132,135,140,147,149,160,163,178,194,196,202,213,220,223,235,255,262,272,279,288,294,301,307,311,314,336,352,363,387,403,408,414,423,431,465,472,485,494,501,562,582,595,609,613,624,628,631,639,644,653,656,658,661,663,665,674,681,683,689,692,694,699,703,705
Washington,0,0,0,0,1,1,1,1,2,2,3,3,5,7,7,9,10,12,14,23,24,26,33,35,38,40,46,50,53,57,59,63,66,66,68,69,70,71,73,75,79,82,83,86,87,92,96,99,101,107,109,113,115,116,118,119,120,120,121,120,121,124,124,124,126,127,129,129,130,131,133,130,130,130,134,135,138,138,138,138,139,139,139,139,140,140,140,140,141,146,147,149,150,151,151,153,155,155,156,156,158,158,162,165,168,168,171,176,184,187,197,211,216,219,230,244,259,279,295,318,339,356,366,410,430,447,454,465,494,518,535,540,559,580,592,603,613,637,654,669,681,699,710,723,740,747,756,764,773,785,808,821,829,840,855,862,871,880,891,899,903,910,924,930,941,956,968,976,979,983,994,1001,1019,1036,1042,1054,1066,1086,1108,1117
Westmoreland,0,0,0,0,0,0,0,0,0,0,2,4,4,4,6,11,16,24,30,41,47,55,61,72,84,110,135,147,157,177,183,190,202,218,223,228,231,237,240,249,280,284,286,291,300,307,317,360,374,377,383,386,391,393,396,401,403,405,409,411,413,415,417,418,419,419,422,423,423,427,432,431,432,434,436,437,440,441,442,442,443,444,447,449,449,451,453,455,456,457,459,461,467,473,474,483,487,490,492,493,498,502,510,519,530,546,552,563,578,587,607,620,640,646,675,711,744,774,801,828,863,896,917,952,975,994,1010,1033,1054,1089,1117,1135,1153,1174,1193,1214,1234,1252,1271,1302,1313,1327,1351,1382,1409,1422,1438,1457,1464,1475,1484,1500,1523,1537,1553,1555,1573,1586,1593,1609,1620,1627,1640,1658,1678,1696,1716,1731,1740,1748,1763,1778,1789,1802,1809,1815,1819,1837,1851,1861
Pgh MSA,0,0,0,0,1,3,4,6,10,15,23,38,44,56,70,90,138,210,252,358,424,478,550,600,687,797,921,1012,1081,1196,1257,1319,1389,1467,1507,1554,1579,1607,1652,1704,1908,1954,1975,2008,2065,2145,2213,2309,2347,2391,2418,2469,2509,2567,2596,2615,2661,2687,2719,2771,2799,2841,2870,2879,2902,2938,2956,2996,3014,3028,3091,3109,3147,3181,3219,3245,3280,3324,3340,3356,3395,3419,3458,3476,3485,3499,3533,3558,3566,3594,3619,3628,3661,3678,3706,3729,3747,3753,3765,3798,3813,3829,3865,3899,3938,4003,4039,4108,4174,4256,4392,4526,4645,4791,4957,5269,5529,5757,5954,6244,6549,6875,7085,7383,7678,7943,8059,8477,8800,9025,9357,9575,9788,10029,10279,10463,10664,10962,11189,11411,11637,11865,12067,12278,12618,12735,12865,12975,13170,13292,13486,13645,13809,13917,14054,14218,14380,14571,14709,14837,14947,15046,15141,15222,15389,15555,15673,15797,15846,15940,16006,16111,16265,16419,16546,16618,16682,16821,17026,17194
PA New Cases,0,4,2,6,19,6,15,14,20,37,52,83,103,108,165,207,276,560,531,533,643,693,756,962,1211,1404,1597,1493,1470,1579,1680,1989,1751,1676,1178,1366,1146,1145,1245,1706,1628,1215,948,1296,1156,1369,1599,1397,1116,885,1214,1102,1397,1208,1334,962,825,865,888,1070,1323,1078,1295,543,837,707,938,986,989,623,822,610,746,980,866,725,730,473,451,780,625,693,680,511,356,612,511,537,443,701,506,351,493,410,467,686,463,336,323,362,335,418,526,504,464,456,510,495,579,600,621,505,492,618,636,832,667,634,479,450,995,849,719,1009,813,725,328,929,994,781,1032,763,786,711,1027,631,962,1213,1054,800,839,1120,834,860,970,888,654,565,854,705,807,758,813,760,601,828,849,991,829,850,660,384,735,570,791,693,796,619,426,561,501,620,835,843,670,521,770,816,1160,891
